毛泽东思想和中国特色社会主义理论体系概论,93
离散数学,95
大学生就业指导,92
新时代劳动教育,84
社会实践一,96
入学教育,91
高等数学I,89
心理健康教育,88
大学计算机基础,92
艺术鉴赏,84
大学英语Ⅰ,89
思想道德修养与法律基础,77
形势与政策Ⅰ,81
中国近现代史纲要,75
军事理论,78
军事技能训练,80
机械工程训练,85
大学体育Ⅰ,85
大学英语Ⅱ,83
C语言程序设计,84
高等数学Ⅱ,75
公益劳动,85
形势与政策Ⅱ,83
大学语文,88
大学物理Ⅰ,73
社会实践二,96
职业生涯与发展规划,71
马克思主义基本原理概论,92
大学物理Ⅱ,80
线性代数A,96
大学英语Ⅲ,81
社会实践三,95
文献检索,85
概率论与数理统计A,80
大学英语Ⅳ,85
毛泽东思想和中国特色社会主义理论体系概论,79
离散数学,80
大学生就业指导,87
新时代劳动教育,77
社会实践一,87
入学教育,88
高等数学I,73
心理健康教育,82
大学计算机基础,78
艺术鉴赏,83
大学英语Ⅰ,71
思想道德修养与法律基础,77
形势与政策Ⅰ,70
中国近现代史纲要,69
军事理论,84
军事技能训练,80
机械工程训练,74
大学体育Ⅰ,77
大学英语Ⅱ,73
C语言程序设计,78
高等数学Ⅱ,44
公益劳动,85
形势与政策Ⅱ,71
大学语文,78
大学物理Ⅰ,60
社会实践二,93
职业生涯与发展规划,78
马克思主义基本原理概论,75
大学物理Ⅱ,60
线性代数A,81
大学英语Ⅲ,71
社会实践三,93
文献检索,85
概率论与数理统计A,63
大学英语Ⅳ,73
毛泽东思想和中国特色社会主义理论体系概论,73
离散数学,70
大学生就业指导,89
新时代劳动教育,84
社会实践一,81
入学教育,74
高等数学I,87
心理健康教育,77
大学计算机基础,74
艺术鉴赏,85
大学英语Ⅰ,79
思想道德修养与法律基础,71
形势与政策Ⅰ,78
中国近现代史纲要,66
军事理论,84
军事技能训练,80
机械工程训练,78
大学体育Ⅰ,80
大学英语Ⅱ,70
C语言程序设计,64
高等数学Ⅱ,44
公益劳动,85
形势与政策Ⅱ,79
大学语文,84
大学物理Ⅰ,61
社会实践二,85
职业生涯与发展规划,77
马克思主义基本原理概论,70
大学物理Ⅱ,61
线性代数A,78
大学英语Ⅲ,71
社会实践三,90
文献检索,76
概率论与数理统计A,87
大学英语Ⅳ,75
毛泽东思想和中国特色社会主义理论体系概论,70
离散数学,79
大学生就业指导,82
新时代劳动教育,85
社会实践一,93
入学教育,73
高等数学I,91
心理健康教育,84
大学计算机基础,72
艺术鉴赏,83
大学英语Ⅰ,73
思想道德修养与法律基础,81
形势与政策Ⅰ,81
中国近现代史纲要,73
军事理论,85
军事技能训练,80
机械工程训练,81
大学体育Ⅰ,92
大学英语Ⅱ,69
C语言程序设计,52
高等数学Ⅱ,54
公益劳动,85
形势与政策Ⅱ,79
大学语文,79
大学物理Ⅰ,72
社会实践二,94
职业生涯与发展规划,79
马克思主义基本原理概论,76
大学物理Ⅱ,68
线性代数A,87
大学英语Ⅲ,74
社会实践三,92
文献检索,83
概率论与数理统计A,97
大学英语Ⅳ,79
毛泽东思想和中国特色社会主义理论体系概论,81
离散数学,86
大学生就业指导,80
新时代劳动教育,81
社会实践一,84
入学教育,92
高等数学I,81
心理健康教育,86
大学计算机基础,86
艺术鉴赏,85
大学英语Ⅰ,79
思想道德修养与法律基础,72
形势与政策Ⅰ,85
中国近现代史纲要,79
军事理论,84
军事技能训练,80
机械工程训练,77
大学体育Ⅰ,85
大学英语Ⅱ,67
C语言程序设计,89
